Row ID,Supplier ID,Supplier Name,Country,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status,Workflow status,Last contact date
R000034,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2026-08-11,Outdated,Open,2026-08-11
R000036,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens).
Does this product contain any Halogens above the limits emntioed in the standard",Dropdown,Yes,yes,Unknown / not specified,2026-07-19,Flagged (needs supplier confirmation),Open,2026-07-19
R000038,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),Evaluation Procedures,Dropdown,Yes,yes,Presumption (without evidence),2026-07-16,Outdated,Open,2026-07-16
R000044,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,12,Requirements,Halal / Kosher requirements,Please list all included substances of animal origin or ethanol with their CAS numbers and concentrations:,Freetext,Yes,yes,N/A,2026-07-21,Flagged (needs supplier confirmation),Open,2026-07-21
R000046,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Dropdown,Yes,yes,TBD,2026-07-25,Flagged (needs supplier confirmation),Open,2026-07-25
R000053,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,"Yes, compliant.",2026-08-30,Flagged (needs supplier confirmation),Open,2026-08-30
R000056,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,16,Requirements,Silicone,Please list all included silicone compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,123,2026-08-18,Flagged (needs supplier confirmation),Open,2026-08-18
R000057,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,16,Requirements,Silicone,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-08-15,Flagged (needs supplier confirmation),Open,2026-08-15
R000064,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Does this product contain any biocidal substances as mentioned in Ordinance EU 528/2012? ,Dropdown,Yes,yes,tbc,2026-08-06,Flagged (needs supplier confirmation),Open,2026-08-06
R000066,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration,2026-08-07,Outdated,Open,2026-08-07
R000067,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Does this product contain Ozone depleting substances as per Regulation (EC) No 1005/2009 ,Dropdown,Yes,yes,"Yes, compliant.",2026-08-15,Flagged (needs supplier confirmation),Open,2026-08-15
R000068,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-01
R000071,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,21,Requirements,Dual Use Substances,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2026-08-06,Outdated,Open,2026-08-06
R000076,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),Evaluation Procedures,Dropdown,Yes,yes,,2026-07-26,Missing,Open,2026-07-26
R000078,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),"Global automotive declarable substance list (GADSL)
https://www.gadsl.org/",Dropdown,Yes,yes,"Yes, compliant.",2026-07-19,Flagged (needs supplier confirmation),Open,2026-07-19
R000080,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),Evaluation Procedures,Dropdown,Yes,yes,,2026-08-29,Missing,Open,2026-08-29
R000084,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,26,Requirements,"Food allergen(s) EU 1169/2011, Annex II","Does the product contain food allergen(s) mentioned in the Regulation (EU) 1169/2011, Annex II?",Dropdown,Yes,yes,"yes, see attachment",2026-08-25,Flagged (needs supplier confirmation),Open,2026-08-25
R000086,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,26,Requirements,"Food allergen(s) EU 1169/2011, Annex II",Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration,2026-08-31,Outdated,Open,2026-08-31
R000090,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,27,Requirements,EU Food contact status,"Lebensmittel-, Bedarfsgegenstände, - und Futtermittelgesetzbuches (Lebensmittel- und Futtermittelgesetzbuch– LFGB) of the Food, Consumer Goods, and Feed Code (Food and Feed Code – LFGB) in the version published on 15 September 2021 (Federal Law Gazette I p. 4253), last amended by Article 7 of the Act of 27 September 2021 (Federal Law Gazette I p. 4530), §§ 30 and 31",Dropdown,Yes,yes,Not Compliant,2026-07-19,Outdated,Open,2026-07-19
R000091,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,27,Requirements,EU Food contact status,Please state EU foodlaw status of your product incl. the relevant paragpraph,Freetext,Yes,yes,"Confirmed per supplier declaration for please state eu foodlaw status of your product incl. the relevant paragpraph, evidence on file.",2026-07-15,Outdated,Open,2026-07-15
R000093,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,27,Requirements,EU Food contact status,COMMISSION REGULATION (EU) No 10/2011,Dropdown,Yes,yes,,2026-07-18,Missing,Open,2026-07-18
R000096,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,27,Requirements,EU Food contact status,"Has this product been manufactured as per the principles and guidelines of good manufacturing practise (GMP))
https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-4_en",Dropdown,Yes,yes,,2026-08-19,Missing,Open,2026-08-19
R000098,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-01
R000099,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,28,Requirements,US FDA Status,Is your product compliant with USA FDA regulations for food contact? Please state the US FDA paragraph,Dropdown,Yes,yes,"Yes, compliant.",2026-07-17,Flagged (needs supplier confirmation),Open,2026-07-17
R000100,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,28,Requirements,US FDA Status,Please state foodlaw status of your product incl. the relevant US FDA paragpraph,Freetext,Yes,yes,,2026-07-26,Missing,Open,2026-07-26
R000104,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration and laboratory analysis,2026-08-26,Outdated,Open,2026-08-26
R000107,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Canada (DSL),Evaluation Procedures,Dropdown,Yes,yes,N/A,2026-08-19,Flagged (needs supplier confirmation),Open,2026-08-19
R000110,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-09,Flagged (needs supplier confirmation),Open,2026-08-09
R000112,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Substance,Freetext,Yes,yes,,2026-07-15,Missing,Open,2026-07-15
R000113,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-07-19,Flagged (needs supplier confirmation),Open,2026-07-19
R000117,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for New Zealand (NZIOC),New Zealand (NZIOC),Dropdown,Yes,yes,tbc,2026-08-18,Flagged (needs supplier confirmation),Open,2026-08-18
R000119,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for New Zealand (NZIOC),Evaluation Procedures,Dropdown,Yes,yes,TBD,2026-08-13,Flagged (needs supplier confirmation),Open,2026-08-13
R000120,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Philippines (PICCS),Philippines (PICCS),Dropdown,Yes,yes,"Yes, compliant.",2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-01
R000121,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Philippines (PICCS),Substance,Freetext,Yes,yes,123,2026-08-08,Flagged (needs supplier confirmation),Open,2026-08-08
R000123,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,"Global Inventory Status for Japan (ENCS), (ISHL)","Japan (ENCS), (ISHL)",Dropdown,Yes,yes,,2026-08-31,Missing,Open,2026-08-31
R000127,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Taiwan (TSCI),Substance,Freetext,Yes,yes,,2026-08-06,Missing,Open,2026-08-06
R000129,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Mexico (INSQ),Mexico (INSQ),Dropdown,Yes,yes,"Yes, compliant.",2026-08-23,Flagged (needs supplier confirmation),Open,2026-08-23
R000130,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Mexico (INSQ),Substance,Freetext,Yes,yes,Unknown / not specified,2026-08-01,Flagged (needs supplier confirmation),Open,2026-08-01
R000131,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Mexico (INSQ),Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-07-30,Flagged (needs supplier confirmation),Open,2026-07-30
R000133,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Substance,Freetext,Yes,yes,"Confirmed per supplier declaration for substance, evidence on file.",2026-08-07,Outdated,Open,2026-08-07
R000134,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Evaluation Procedures,Dropdown,Yes,yes,TBD,2026-07-17,Flagged (needs supplier confirmation),Open,2026-07-17
R000135,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EHSNR),Malaysia (EHSNR),Dropdown,Yes,yes,"yes, see attachment",2026-07-25,Flagged (needs supplier confirmation),Open,2026-07-25
R000139,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Australia (AICS),Substance,Freetext,Yes,yes,123,2026-08-03,Flagged (needs supplier confirmation),Open,2026-08-03
R000140,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Australia (AICS),Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-08-19,Flagged (needs supplier confirmation),Open,2026-08-19
R000141,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 1,Substance Name,Freetext,Yes,yes,Unknown / not specified,2026-08-09,Flagged (needs supplier confirmation),Open,2026-08-09
R000143,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 1,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.",2026-08-23,Outdated,Open,2026-08-23
R000145,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 2,Substance Name,Freetext,Yes,yes,"Confirmed per supplier declaration for substance name, evidence on file.",2026-08-02,Outdated,Open,2026-08-02
R000146,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 2,CAS No. ,Freetext,Yes,yes,tbc,2026-08-30,Flagged (needs supplier confirmation),Open,2026-08-30
R000154,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 4,CAS No. ,Freetext,Yes,yes,tbc,2026-07-31,Flagged (needs supplier confirmation),Open,2026-07-31
R000155,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 4,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Yes, compliant.",2026-07-16,Flagged (needs supplier confirmation),Open,2026-07-16
R000159,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 5,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,Unknown / not specified,2026-07-27,Flagged (needs supplier confirmation),Open,2026-07-27
R000160,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 5,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,123,2026-07-28,Flagged (needs supplier confirmation),Open,2026-07-28
R000161,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 6,Substance Name,Freetext,Yes,yes,"Confirmed per supplier declaration for substance name, evidence on file.",2026-07-25,Outdated,Open,2026-07-25
R000164,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 6,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.",2026-08-15,Outdated,Open,2026-08-15
R000170,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 8,CAS No. ,Freetext,Yes,yes,"Confirmed per supplier declaration for cas no. , evidence on file.",2026-08-24,Outdated,Open,2026-08-24
R000174,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 9,CAS No. ,Freetext,Yes,yes,Unknown / not specified,2026-08-18,Flagged (needs supplier confirmation),Open,2026-08-18
R000177,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,30,Full Material Declaration,Material 10,Substance Name,Freetext,Yes,yes,"Confirmed per supplier declaration for substance name, evidence on file.",2026-07-28,Outdated,Open,2026-07-28
R000184,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,31,Sustainability data (currently optional),Share of virgin bio-based material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,"Yes, compliant.",2026-08-11,Flagged (needs supplier confirmation),Open,2026-08-11
R000187,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,31,Sustainability data (currently optional),Share of recycled material,Substance concentration (in %),Freetext,Yes,yes,123,2026-08-10,Flagged (needs supplier confirmation),Open,2026-08-10
R000198,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,1,General information,Introduction,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-15,Flagged (needs supplier confirmation),Open,2026-08-15
R000199,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,2,REACH Registration Status,REACH Registration Status,"Have all substances included in this product been registered? Yes, no, exempt?",Dropdown,Yes,yes,Unknown / not specified,2026-08-07,Flagged (needs supplier confirmation),Open,2026-08-07
R000201,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Freetext,Yes,yes,pending,2026-08-22,Flagged (needs supplier confirmation),Open,2026-08-22
R000205,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-07-20,Flagged (needs supplier confirmation),Open,2026-07-20
R000206,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XIV plus amendments (current revision)
Applies to all purchased products and packaging.",Dropdown,Yes,yes,Exempt,2026-08-08,Outdated,Open,2026-08-08
R000208,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,pending,2026-07-15,Flagged (needs supplier confirmation),Open,2026-07-15
R000211,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-08-26,Flagged (needs supplier confirmation),Open,2026-08-26
R000212,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Applies to all purchased products and packaging.,Dropdown,Yes,yes,Unknown / not specified,2026-08-27,Flagged (needs supplier confirmation),Open,2026-08-27
R000213,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Freetext,Yes,yes,,2026-08-23,Missing,Open,2026-08-23
R000217,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-08-16,Flagged (needs supplier confirmation),Open,2026-08-16
R000218,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Applies to all purchased products,Dropdown,Yes,yes,"Yes, compliant.",2026-08-27,Flagged (needs supplier confirmation),Open,2026-08-27
R000220,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2026-07-25,Flagged (needs supplier confirmation),Open,2026-07-25
R000221,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,7,Legislations,Packaging directive 94/62/EC,Applies to all packaging materials for production and sales products.,Dropdown,Yes,yes,pending,2026-07-27,Flagged (needs supplier confirmation),Open,2026-07-27
R000223,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,7,Legislations,Packaging directive 94/62/EC,Evaluation Procedures,Dropdown,Yes,yes,N/A,2026-08-19,Flagged (needs supplier confirmation),Open,2026-08-19
R000224,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Applies to all purchased products,Dropdown,Yes,yes,Unknown / not specified,2026-08-22,Flagged (needs supplier confirmation),Open,2026-08-22
R000225,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Declaration of comformidity,Freetext,Yes,yes,123,2026-08-14,Flagged (needs supplier confirmation),Open,2026-08-14
R000227,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Applies to all purchased products,Dropdown,Yes,yes,"yes, see attachment",2026-07-21,Flagged (needs supplier confirmation),Open,2026-07-21
R000229,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-02,Flagged (needs supplier confirmation),Open,2026-08-02
R000231,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"if yes, Please list all inlcuded Halogens with their CAS numbers and concentrations:",Freetext,Yes,yes,tbc,2026-08-09,Flagged (needs supplier confirmation),Open,2026-08-09
R000232,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration,2026-08-08,Outdated,Open,2026-08-08
R000233,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Applies to all purchased products,Dropdown,Yes,yes,Unknown / not specified,2026-08-09,Flagged (needs supplier confirmation),Open,2026-08-09
R000234,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-08-29,Flagged (needs supplier confirmation),Open,2026-08-29
R000237,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Please confirm that the above-metioned product does not contain any substances of animal origin or ethanol,Dropdown,Yes,yes,"yes, see attachment",2026-08-31,Flagged (needs supplier confirmation),Open,2026-08-31
R000238,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Please list all included substances of animal origin or ethanol with their CAS numbers and concentrations:,Freetext,Yes,yes,,2026-08-12,Missing,Open,2026-08-12
R000239,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-25,Flagged (needs supplier confirmation),Open,2026-08-25
R000240,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Dropdown,Yes,yes,Unknown / not specified,2026-07-14,Flagged (needs supplier confirmation),Open,2026-07-14
R000241,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,13,Requirements,Phthalates,Please list all included phthalates except those which are mentioned in ANNEX XVII REACH (entry 51) with their CAS numbers and concentrations:,Freetext,Yes,yes,123,2026-08-04,Flagged (needs supplier confirmation),Open,2026-08-04
R000247,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,123,2026-07-21,Flagged (needs supplier confirmation),Open,2026-07-21
R000256,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,18,Requirements,Nanomaterial,"If yes, which particle size?
Please list the particle size of the nano substance:",Freetext,Yes,yes,,2026-08-09,Missing,Open,2026-08-09
R000257,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,18,Requirements,Nanomaterial,Evaluation Procedures,Dropdown,Yes,yes,N/A,2026-08-13,Flagged (needs supplier confirmation),Open,2026-08-13
R000259,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?","If it is a biocidal product in which country has this product been registered or authorized for which product type?
List of registered countries and product type:",Freetext,Yes,yes,"Confirmed per supplier declaration for if it is a biocidal product in which country has this product been registered or authorized for which product type?
list of registered countries and product type:, evidence on file.",2026-08-01,Outdated,Open,2026-08-01
R000260,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Evaluation Procedures,Dropdown,Yes,yes,,2026-07-19,Missing,Open,2026-07-19
R000261,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Does this product contain Ozone depleting substances as per Regulation (EC) No 1005/2009 ,Dropdown,Yes,yes,Not Compliant,2026-08-25,Outdated,Open,2026-08-25
R000265,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,21,Requirements,Dual Use Substances,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-07-22,Flagged (needs supplier confirmation),Open,2026-07-22
R000270,1000662,Kraton Chemical LLC,Poland,14129-90000-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration,2026-07-26,Outdated,Open,2026-07-26
