Row ID,Supplier ID,Supplier Name,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status
R00025,1000662,Kraton Chemical LLC,14129-90001-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Declaration of comformidity,Freetext,Yes,yes,123,2026-04-26,Flagged (needs supplier confirmation)
R00027,1000662,Kraton Chemical LLC,14129-90001-00,MDF,7,Legislations,Packaging directive 94/62/EC,Applies to all packaging materials for production and sales products.,Dropdown,Yes,yes,,,Missing
R00028,1000662,Kraton Chemical LLC,14129-90001-00,MDF,7,Legislations,Packaging directive 94/62/EC,Declaration of comformidity,Freetext,Yes,yes,,,Missing
R00029,1000662,Kraton Chemical LLC,14129-90001-00,MDF,7,Legislations,Packaging directive 94/62/EC,Evaluation Procedures,Dropdown,Yes,yes,Material declaration and laboratory ananlysis,2025-07-06,Outdated
R00033,1000662,Kraton Chemical LLC,14129-90001-00,MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Applies to all purchased products,Dropdown,Yes,yes,N/A,2025-11-28,Flagged (needs supplier confirmation)
R00036,1000662,Kraton Chemical LLC,14129-90001-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens).
Does this product contain any Halogens above the limits emntioed in the standard",Dropdown,Yes,yes,pending,2026-07-27,Flagged (needs supplier confirmation)
R00043,1000662,Kraton Chemical LLC,14129-90001-00,MDF,12,Requirements,Halal / Kosher requirements,Please confirm that the above-metioned product does not contain any substances of animal origin or ethanol,Dropdown,Yes,yes,pending,2026-09-10,Flagged (needs supplier confirmation)
R00048,1000662,Kraton Chemical LLC,14129-90001-00,MDF,13,Requirements,Phthalates,Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration and material declaration,2024-07-14,Outdated
R00051,1000662,Kraton Chemical LLC,14129-90001-00,MDF,14,Requirements,Mineral Oil,Evaluation Procedures,Dropdown,Yes,yes,Laboratory analysis,2024-05-16,Outdated
R00052,1000662,Kraton Chemical LLC,14129-90001-00,MDF,15,Requirements,Antimony,Does this product contain antimony or other antimony compounds?,Dropdown,Yes,yes,TBD,2026-07-30,Flagged (needs supplier confirmation)
R00056,1000662,Kraton Chemical LLC,14129-90001-00,MDF,16,Requirements,Silicone,Please list all included silicone compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,Unknown / not specified,2026-02-07,Flagged (needs supplier confirmation)
R00058,1000662,Kraton Chemical LLC,14129-90001-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Does your product contain any microplastics as mentioned in Commission Regulation (EU) 2023/2055?,Dropdown,Yes,yes,"Yes, compliant.",2026-03-04,Flagged (needs supplier confirmation)
R00060,1000662,Kraton Chemical LLC,14129-90001-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Evaluation Procedures,Dropdown,Yes,yes,TBD,2026-03-22,Flagged (needs supplier confirmation)
R00064,1000662,Kraton Chemical LLC,14129-90001-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Does this product contain any biocidal substances as mentioned in Ordinance EU 528/2012? ,Dropdown,Yes,yes,,,Missing
R00066,1000662,Kraton Chemical LLC,14129-90001-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-01-06,Flagged (needs supplier confirmation)
R00076,1000662,Kraton Chemical LLC,14129-90001-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-01-25,Flagged (needs supplier confirmation)
R00078,1000662,Kraton Chemical LLC,14129-90001-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),"Global automotive declarable substance list (GADSL)
https://www.gadsl.org/",Dropdown,Yes,yes,,,Missing
R00080,1000662,Kraton Chemical LLC,14129-90001-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-09-04,Flagged (needs supplier confirmation)
R00085,1000662,Kraton Chemical LLC,14129-90001-00,MDF,26,Requirements,"Food allergen(s) EU 1169/2011, Annex II",Please list all included food allergens with their CAS numbers and concentrations:,Freetext,Yes,yes,123,2026-04-18,Flagged (needs supplier confirmation)
R00088,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,Please state EU foodlaw status of your product incl. the relevant paragpraph,Freetext,Yes,yes,TBD,2025-11-19,Flagged (needs supplier confirmation)
R00090,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,"Lebensmittel-, Bedarfsgegenstände, - und Futtermittelgesetzbuches (Lebensmittel- und Futtermittelgesetzbuch– LFGB) of the Food, Consumer Goods, and Feed Code (Food and Feed Code – LFGB) in the version published on 15 September 2021 (Federal Law Gazette I p. 4253), last amended by Article 7 of the Act of 27 September 2021 (Federal Law Gazette I p. 4530), §§ 30 and 31",Dropdown,Yes,yes,"yes, see attachment",2025-12-28,Flagged (needs supplier confirmation)
R00092,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-08-01,Flagged (needs supplier confirmation)
R00093,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,COMMISSION REGULATION (EU) No 10/2011,Dropdown,Yes,yes,,,Missing
R00095,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-05-08,Flagged (needs supplier confirmation)
R00098,1000662,Kraton Chemical LLC,14129-90001-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration and material declaration,2025-04-26,Outdated
R00100,1000662,Kraton Chemical LLC,14129-90001-00,MDF,28,Requirements,US FDA Status,Please state foodlaw status of your product incl. the relevant US FDA paragpraph,Freetext,Yes,yes,tbc,2026-01-20,Flagged (needs supplier confirmation)
R00104,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration and material declaration,2025-06-02,Outdated
R00109,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Substance,Freetext,Yes,yes,Unknown / not specified,2026-04-11,Flagged (needs supplier confirmation)
R00110,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-07-14,Flagged (needs supplier confirmation)
R00112,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Substance,Freetext,Yes,yes,Unknown / not specified,2026-05-27,Flagged (needs supplier confirmation)
R00113,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-04-29,Flagged (needs supplier confirmation)
R00115,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Korea (KECI),Substance,Freetext,Yes,yes,123,2026-04-23,Flagged (needs supplier confirmation)
R00116,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Korea (KECI),Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-06-21,Flagged (needs supplier confirmation)
R00120,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Philippines (PICCS),Philippines (PICCS),Dropdown,Yes,yes,Not Compliant,2024-10-14,Outdated
R00122,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Philippines (PICCS),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration,2024-05-05,Outdated
R00128,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Taiwan (TSCI),Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-03-25,Flagged (needs supplier confirmation)
R00130,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Mexico (INSQ),Substance,Freetext,Yes,yes,"Yes, compliant.",2026-07-18,Flagged (needs supplier confirmation)
R00132,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Malaysia (EMS),Dropdown,Yes,yes,"yes, see attachment",2026-03-16,Flagged (needs supplier confirmation)
R00133,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Substance,Freetext,Yes,yes,N/A,2026-08-30,Flagged (needs supplier confirmation)
R00134,1000662,Kraton Chemical LLC,14129-90001-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Evaluation Procedures,Dropdown,Yes,yes,Supplier declaration and laboratory analysis,2025-03-19,Outdated
R00141,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 1,Substance Name,Freetext,Yes,yes,Unknown / not specified,2026-02-01,Flagged (needs supplier confirmation)
R00142,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 1,CAS No. ,Freetext,Yes,yes,"Confirmed per supplier declaration for cas no. , evidence on file.",2024-12-28,Outdated
R00144,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 1,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,Unknown / not specified,2026-06-06,Flagged (needs supplier confirmation)
R00145,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 2,Substance Name,Freetext,Yes,yes,"Yes, compliant.",2026-01-31,Flagged (needs supplier confirmation)
R00146,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 2,CAS No. ,Freetext,Yes,yes,Unknown / not specified,2026-06-03,Flagged (needs supplier confirmation)
R00152,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 3,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,"Yes, compliant.",2026-04-13,Flagged (needs supplier confirmation)
R00158,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 5,CAS No. ,Freetext,Yes,yes,pending,2025-11-19,Flagged (needs supplier confirmation)
R00165,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 7,Substance Name,Freetext,Yes,yes,tbc,2026-05-19,Flagged (needs supplier confirmation)
R00167,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 7,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,pending,2026-08-05,Flagged (needs supplier confirmation)
R00169,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 8,Substance Name,Freetext,Yes,yes,"Yes, compliant.",2026-02-27,Flagged (needs supplier confirmation)
R00171,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 8,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Freetext,Yes,yes,"Yes, compliant.",2026-09-09,Flagged (needs supplier confirmation)
R00174,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 9,CAS No. ,Freetext,Yes,yes,"Yes, compliant.",2025-12-20,Flagged (needs supplier confirmation)
R00176,1000662,Kraton Chemical LLC,14129-90001-00,MDF,30,Full Material Declaration,Material 9,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Freetext,Yes,yes,,,Missing
R00188,1000662,Kraton Chemical LLC,14129-90001-00,MDF,31,Sustainability data (currently optional),Share of recycled material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,,,Missing
R00190,1000662,Kraton Chemical LLC,14129-90001-00,MDF,31,Sustainability data (currently optional),Share of bio-based from agricultural waste/residue,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.",2024-05-08,Outdated
R00192,1000662,Kraton Chemical LLC,14129-90001-00,MDF,31,Sustainability data (currently optional),Share of other circular material feedstock,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Freetext,Yes,yes,123,2026-06-25,Flagged (needs supplier confirmation)
R00202,1000662,Kraton Chemical LLC,,PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Document file(s),File upload,Yes,yes,123,2026-02-09,Flagged (needs supplier confirmation)
R00208,1000662,Kraton Chemical LLC,,PCF,3,PCF,PCF Upload – Submission,Applies to purchased NART(s),Multi-select dropdown,Yes,yes,"Yes, compliant.",2026-02-16,Flagged (needs supplier confirmation)
R00209,1000662,Kraton Chemical LLC,,PCF,3,PCF,PCF Upload – Submission,Confidentiality level,Dropdown,Yes,yes,"yes, see attachment",2026-07-08,Flagged (needs supplier confirmation)
R00211,1000662,Kraton Chemical LLC,,PCF,3,PCF,PCF Upload – Submission,Site name,Freetext,Yes,yes,123,2025-11-27,Flagged (needs supplier confirmation)
R00212,1000662,Kraton Chemical LLC,,PCF,3,PCF,PCF Upload – Submission,Country,Dropdown,Yes,yes,"yes, see attachment",2026-07-04,Flagged (needs supplier confirmation)
R00214,1000662,Kraton Chemical LLC,,Certificates,1,Certificates,Certificates,Certificate selection,Dropdown,Yes,yes,"yes, see attachment",2026-03-28,Flagged (needs supplier confirmation)
R00215,1000662,Kraton Chemical LLC,,Certificates,1,Certificates,Certificates,Certificate for supplier entity,Freetext,Yes,yes,123,2026-04-22,Flagged (needs supplier confirmation)
R00217,1000662,Kraton Chemical LLC,,Certificates,1,Certificates,Certificates,Certificate file Upload or LINK to online file,Docuement upload or Lin to automatic download from internet,Yes,yes,,,Missing
R00219,1000666,BASF Corporation,14151-90000-00,MDF,1,General information,Introduction,"Is this product a: Monomer, Polymer or no longer polymer or ""other""?",Dropdown,Yes,yes,Unknown / not specified,2026-08-16,Flagged (needs supplier confirmation)
R00224,1000666,BASF Corporation,14151-90000-00,MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-07-15,Flagged (needs supplier confirmation)
R00233,1000666,BASF Corporation,14151-90000-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2024-05-30,Outdated
R00235,1000666,BASF Corporation,14151-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Applies to all purchased products and packaging.,Dropdown,Yes,yes,"yes, see attachment",2026-03-06,Flagged (needs supplier confirmation)
R00236,1000666,BASF Corporation,14151-90000-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-03-21,Flagged (needs supplier confirmation)
R00240,1000666,BASF Corporation,14151-90000-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Evaluation Procedures,Dropdown,Yes,yes,tbc,2025-12-10,Flagged (needs supplier confirmation)
R00242,1000666,BASF Corporation,14151-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Declaration of comformidity,Freetext,Yes,yes,TBD,2026-04-22,Flagged (needs supplier confirmation)
R00243,1000666,BASF Corporation,14151-90000-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2025-11-24,Flagged (needs supplier confirmation)
R00245,1000666,BASF Corporation,14151-90000-00,MDF,7,Legislations,Packaging directive 94/62/EC,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2025-05-07,Outdated
R00246,1000666,BASF Corporation,14151-90000-00,MDF,7,Legislations,Packaging directive 94/62/EC,Evaluation Procedures,Dropdown,Yes,yes,Laboratory analysis,2025-02-15,Outdated
R00249,1000666,BASF Corporation,14151-90000-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-02-15,Flagged (needs supplier confirmation)
R00253,1000666,BASF Corporation,14151-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens).
Does this product contain any Halogens above the limits emntioed in the standard",Dropdown,Yes,yes,"Yes, compliant.",2026-05-10,Flagged (needs supplier confirmation)
R00254,1000666,BASF Corporation,14151-90000-00,MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"if yes, Please list all inlcuded Halogens with their CAS numbers and concentrations:",Freetext,Yes,yes,Unknown / not specified,2026-03-07,Flagged (needs supplier confirmation)
R00257,1000666,BASF Corporation,14151-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-01-22,Flagged (needs supplier confirmation)
R00258,1000666,BASF Corporation,14151-90000-00,MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Evaluation Procedures,Dropdown,Yes,yes,TBD,2026-06-05,Flagged (needs supplier confirmation)
R00259,1000666,BASF Corporation,14151-90000-00,MDF,12,Requirements,Halal / Kosher requirements,"Is the product conform with Halal / Kosher requirements, certified by a recognized Kosher and Halal certification body?",Dropdown,Yes,yes,Unknown / not specified,2026-06-09,Flagged (needs supplier confirmation)
R00260,1000666,BASF Corporation,14151-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Please confirm that the above-metioned product does not contain any substances of animal origin or ethanol,Dropdown,Yes,yes,"yes, see attachment",2026-04-23,Flagged (needs supplier confirmation)
R00262,1000666,BASF Corporation,14151-90000-00,MDF,12,Requirements,Halal / Kosher requirements,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00263,1000666,BASF Corporation,14151-90000-00,MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Dropdown,Yes,yes,Yes,2025-05-09,Outdated
R00264,1000666,BASF Corporation,14151-90000-00,MDF,13,Requirements,Phthalates,Please list all included phthalates except those which are mentioned in ANNEX XVII REACH (entry 51) with their CAS numbers and concentrations:,Freetext,Yes,yes,"Yes, compliant.",2025-12-12,Flagged (needs supplier confirmation)
R00265,1000666,BASF Corporation,14151-90000-00,MDF,13,Requirements,Phthalates,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00270,1000666,BASF Corporation,14151-90000-00,MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Freetext,Yes,yes,,,Missing
R00276,1000666,BASF Corporation,14151-90000-00,MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Declaration of comformidity,Freetext,Yes,yes,TBD,2025-11-30,Flagged (needs supplier confirmation)
R00279,1000666,BASF Corporation,14151-90000-00,MDF,18,Requirements,Nanomaterial,"If yes, which particle size?
Please list the particle size of the nano substance:",Freetext,Yes,yes,Unknown / not specified,2026-02-04,Flagged (needs supplier confirmation)
R00283,1000666,BASF Corporation,14151-90000-00,MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Evaluation Procedures,Dropdown,Yes,yes,N/A,2025-12-03,Flagged (needs supplier confirmation)
R00284,1000666,BASF Corporation,14151-90000-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Does this product contain Ozone depleting substances as per Regulation (EC) No 1005/2009 ,Dropdown,Yes,yes,"yes, see attachment",2026-01-24,Flagged (needs supplier confirmation)
R00286,1000666,BASF Corporation,14151-90000-00,MDF,20,Requirements,Ozone Depleting Substances (ODS) Regulation (EC) No 1005/2009,Evaluation Procedures,Dropdown,Yes,yes,Material declaration,2024-08-12,Outdated
R00288,1000666,BASF Corporation,14151-90000-00,MDF,21,Requirements,Dual Use Substances,Declaration of comformidity,Freetext,Yes,yes,tbc,2026-06-02,Flagged (needs supplier confirmation)
R00289,1000666,BASF Corporation,14151-90000-00,MDF,21,Requirements,Dual Use Substances,Evaluation Procedures,Dropdown,Yes,yes,N/A,2026-04-28,Flagged (needs supplier confirmation)
R00290,1000666,BASF Corporation,14151-90000-00,MDF,22,Conflict Minerals,Responsible Minerals Sourcing (EU and US Legislative),"Applies to all purchased products
Please fill in the additional templates for CMRT & EMRT
https://www.responsiblemineralsinitiative.org/reporting-templates/cmrt/
https://www.responsiblemineralsinitiative.org/reporting-templates/emrt/",Dropdown,Yes,yes,tbc,2025-11-24,Flagged (needs supplier confirmation)
R00294,1000666,BASF Corporation,14151-90000-00,MDF,23,Forever Chemicals,PFAS,"Please refer to PFAS OECD list 2024
Applies to all purchased products",Dropdown,Yes,yes,,,Missing
R00296,1000666,BASF Corporation,14151-90000-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),Please list all GADSL listet substances including the CAS numbers and concentrations:,Freetext,Yes,yes,TBD,2026-04-27,Flagged (needs supplier confirmation)
R00297,1000666,BASF Corporation,14151-90000-00,MDF,24,Requirements,Global automotive declarable substance list (GADSL),Evaluation Procedures,Dropdown,Yes,yes,pending,2025-12-20,Flagged (needs supplier confirmation)
R00301,1000666,BASF Corporation,14151-90000-00,MDF,26,Requirements,"Food allergen(s) EU 1169/2011, Annex II","Does the product contain food allergen(s) mentioned in the Regulation (EU) 1169/2011, Annex II?",Dropdown,Yes,yes,,,Missing
R00305,1000666,BASF Corporation,14151-90000-00,MDF,27,Requirements,EU Food contact status,Please state EU foodlaw status of your product incl. the relevant paragpraph,Freetext,Yes,yes,,,Missing
R00306,1000666,BASF Corporation,14151-90000-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,,,Missing
R00312,1000666,BASF Corporation,14151-90000-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,tbc,2026-01-30,Flagged (needs supplier confirmation)
R00313,1000666,BASF Corporation,14151-90000-00,MDF,27,Requirements,EU Food contact status,"Has this product been manufactured as per the principles and guidelines of good manufacturing practise (GMP))
https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-4_en",Dropdown,Yes,yes,"Yes, compliant.",2026-05-12,Flagged (needs supplier confirmation)
R00315,1000666,BASF Corporation,14151-90000-00,MDF,27,Requirements,EU Food contact status,Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2026-07-26,Flagged (needs supplier confirmation)
R00319,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Global Inventory Status,Dropdown,Yes,yes,"Yes, compliant.",2026-04-25,Flagged (needs supplier confirmation)
R00321,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for USA (TSCA),Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-06-29,Flagged (needs supplier confirmation)
R00322,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (DSL),Canada (DSL),Dropdown,Yes,yes,Unknown / not specified,2025-12-25,Flagged (needs supplier confirmation)
R00324,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (DSL),Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2026-03-21,Flagged (needs supplier confirmation)
R00325,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Canada (NDSL),Dropdown,Yes,yes,,,Missing
R00326,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Canada (NDSL),Substance,Freetext,Yes,yes,"Confirmed per supplier declaration for substance, evidence on file.",2024-06-06,Outdated
R00329,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for China (IECSC) ,Substance,Freetext,Yes,yes,Unknown / not specified,2025-12-07,Flagged (needs supplier confirmation)
R00348,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Mexico (INSQ),Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-04-17,Flagged (needs supplier confirmation)
R00351,1000666,BASF Corporation,14151-90000-00,MDF,29,Requirements,Global Inventory Status for Malaysia (EMS),Evaluation Procedures,Dropdown,Yes,yes,Laboratory analysis,2024-05-03,Outdated
