Row ID,Supplier ID,Supplier Name,Country,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status,Workflow status,Last contact date,Region,Industry
DEMO100-001-A02-F03,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M1,Automotive,Materials,Component surface treatment,Freetext,Yes,yes,2024 declaration: Water-based protective coating,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A02-F04,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M1,Automotive,Manufacturing,Assembly joining method,Freetext,Yes,yes,Unverified declaration: Mechanical fasteners,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A02-F05,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M1,Automotive,Maintenance,Service replacement interval,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A02-F06,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M1,Automotive,Circularity,Remanufacturing suitability,Freetext,Yes,yes,2024 declaration: Housing suitable for remanufacturing,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A02-F07,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Product revision reference,Freetext,Yes,yes,"Unverified declaration: Revision B, demonstration release 2026",2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A02-F08,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Traceability,Production batch reference,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A02-F09,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Declared functional unit,Freetext,Yes,yes,2024 declaration: One finished product,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A02-F10,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Assessment reference period,Freetext,Yes,yes,Unverified declaration: January to December 2026,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A02-F11,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Energy,Electricity use per unit,Freetext,Yes,yes,2.4 kWh per unit,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F12,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Energy,Renewable electricity share,Freetext,Yes,yes,65 percent,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F13,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Waste generated per unit,Freetext,Yes,yes,0.08 kg per unit,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F14,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Main delivery distance,Freetext,Yes,yes,450 km,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F15,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Shipment loading assumption,Freetext,Yes,yes,80 percent load factor,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F16,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Packaging,Reusable transport packaging,Freetext,Yes,yes,Reusable crates for return shipments,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F17,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Evidence issue date,Date,Yes,yes,2026-09-01,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F18,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Data measurement approach,Freetext,Yes,yes,Measured site totals allocated per product,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F19,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M3,Quality,Quality evidence,Quality certificate valid until,Date,Yes,yes,2028-12-31,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F20,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,PCF,DEMO100-M2,Product footprint and logistics,Reporting period,Reporting year,Freetext,Yes,yes,2026,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F21,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M1,Automotive,Identity,Product family confirmation,Freetext,Yes,yes,Fictional automotive family 1,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A02-F22,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A02,MDF,DEMO100-M3,Quality,Applicability,Demo applicability note,Freetext,No,no,Not applicable to this fictional product,2026-09-01,N/A (informational field),Closed,,EMEA,Automotive
DEMO100-001-A03-F01,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Engineering,Part drawing revision,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F02,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Engineering,Vehicle application,Freetext,Yes,yes,2024 declaration: Fictional electric passenger vehicle,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F03,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Materials,Component surface treatment,Freetext,Yes,yes,Unverified declaration: Water-based protective coating,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F04,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Manufacturing,Assembly joining method,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F05,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Maintenance,Service replacement interval,Freetext,Yes,yes,2024 declaration: Inspect after 60000 km,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F06,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Circularity,Remanufacturing suitability,Freetext,Yes,yes,Unverified declaration: Housing suitable for remanufacturing,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F07,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Product revision reference,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F08,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Traceability,Production batch reference,Freetext,Yes,yes,2024 declaration: Fictional batch DEMO-2026-09,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F09,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Declared functional unit,Freetext,Yes,yes,Unverified declaration: One finished product,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F10,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Assessment reference period,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F11,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Energy,Electricity use per unit,Freetext,Yes,yes,2024 declaration: 2.4 kWh per unit,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F12,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Energy,Renewable electricity share,Freetext,Yes,yes,Unverified declaration: 65 percent,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F13,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Waste generated per unit,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F14,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Main delivery distance,Freetext,Yes,yes,2024 declaration: 450 km,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F15,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Shipment loading assumption,Freetext,Yes,yes,Unverified declaration: 80 percent load factor,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F16,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Packaging,Reusable transport packaging,Freetext,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F17,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Evidence issue date,Date,Yes,yes,2024-06-30,2024-06-30,Outdated,Open,,EMEA,Automotive
DEMO100-001-A03-F18,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Data measurement approach,Freetext,Yes,yes,Unverified declaration: Measured site totals allocated per product,2026-09-01,Flagged (needs supplier confirmation),Open,,EMEA,Automotive
DEMO100-001-A03-F19,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M3,Quality,Quality evidence,Quality certificate valid until,Date,Yes,yes,,,Missing,Open,,EMEA,Automotive
DEMO100-001-A03-F20,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,PCF,DEMO100-M2,Product footprint and logistics,Reporting period,Reporting year,Freetext,Yes,yes,2026,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A03-F21,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M1,Automotive,Identity,Product family confirmation,Freetext,Yes,yes,Fictional automotive family 1,2026-09-01,Complete,Closed,,EMEA,Automotive
DEMO100-001-A03-F22,DEMO100-001,Demo Alderhaven Motion Works,Germany,DEMO100-001-A03,MDF,DEMO100-M3,Quality,Applicability,Demo applicability note,Freetext,No,no,Not applicable to this fictional product,2026-09-01,N/A (informational field),Closed,,EMEA,Automotive
DEMO100-002-A01-F01,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Packaging specifications,Board thickness,Freetext,Yes,yes,Unverified declaration: 1.2 mm,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F02,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Packaging specifications,Packaging layer count,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F03,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Materials,Printing ink system,Freetext,Yes,yes,2024 declaration: Water-based ink,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F04,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Materials,Adhesive type,Freetext,Yes,yes,Unverified declaration: Starch-based adhesive,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F05,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Circularity,Reusable packaging cycles,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F06,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Logistics,Flattened storage dimensions,Freetext,Yes,yes,2024 declaration: 400 by 300 by 20 mm,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F07,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Product revision reference,Freetext,Yes,yes,"Unverified declaration: Revision B, demonstration release 2026",2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F08,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Traceability,Production batch reference,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F09,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Declared functional unit,Freetext,Yes,yes,One finished product,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F10,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Assessment reference period,Freetext,Yes,yes,January to December 2026,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F11,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Energy,Electricity use per unit,Freetext,Yes,yes,2.4 kWh per unit,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F12,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Energy,Renewable electricity share,Freetext,Yes,yes,65 percent,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F13,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Waste generated per unit,Freetext,Yes,yes,0.08 kg per unit,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F14,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Main delivery distance,Freetext,Yes,yes,450 km,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F15,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Logistics,Shipment loading assumption,Freetext,Yes,yes,80 percent load factor,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F16,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Packaging,Reusable transport packaging,Freetext,Yes,yes,Reusable crates for return shipments,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F17,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Evidence issue date,Date,Yes,yes,2026-09-01,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F18,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Evidence,Data measurement approach,Freetext,Yes,yes,Measured site totals allocated per product,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F19,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M3,Quality,Quality evidence,Quality certificate valid until,Date,Yes,yes,2028-12-31,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F20,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,PCF,DEMO100-M2,Product footprint and logistics,Reporting period,Reporting year,Freetext,Yes,yes,2026,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F21,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M1,Packaging,Identity,Product family confirmation,Freetext,Yes,yes,Fictional packaging family 2,2026-09-01,Complete,Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A01-F22,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A01,MDF,DEMO100-M3,Quality,Applicability,Demo applicability note,Freetext,No,no,Not applicable to this fictional product,2026-09-01,N/A (informational field),Closed,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F01,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Packaging specifications,Board thickness,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F02,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Packaging specifications,Packaging layer count,Freetext,Yes,yes,2024 declaration: Three layers,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F03,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Materials,Printing ink system,Freetext,Yes,yes,Unverified declaration: Water-based ink,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F04,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Materials,Adhesive type,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F05,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Circularity,Reusable packaging cycles,Freetext,Yes,yes,2024 declaration: 20 cycles under normal use,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F06,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,MDF,DEMO100-M1,Packaging,Logistics,Flattened storage dimensions,Freetext,Yes,yes,Unverified declaration: 400 by 300 by 20 mm,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F07,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Product revision reference,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F08,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,PCF,DEMO100-M2,Product footprint and logistics,Traceability,Production batch reference,Freetext,Yes,yes,2024 declaration: Fictional batch DEMO-2026-09,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F09,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,PCF,DEMO100-M2,Product footprint and logistics,Product identity,Declared functional unit,Freetext,Yes,yes,Unverified declaration: One finished product,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F10,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,PCF,DEMO100-M2,Product footprint and logistics,Environmental data,Assessment reference period,Freetext,Yes,yes,,,Missing,Open,2026-09-02,LATAM,Packaging
DEMO100-002-A02-F11,DEMO100-002,Demo Alderhaven Fibre Packs,Mexico,DEMO100-002-A02,PCF,DEMO100-M2,Product footprint and logistics,Energy,Electricity use per unit,Freetext,Yes,yes,2024 declaration: 2.4 kWh per unit,2024-06-30,Outdated,Open,2026-09-02,LATAM,Packaging
