Supplier ID,Supplier Name,Country,Region,Industry,NART,Outstanding fields
DEMO100-081,Demo Ivoryfen Motion Works,Brazil,LATAM,Automotive,DEMO100-081-A01,1
DEMO100-081,Demo Ivoryfen Motion Works,Brazil,LATAM,Automotive,DEMO100-081-A02,10
DEMO100-081,Demo Ivoryfen Motion Works,Brazil,LATAM,Automotive,DEMO100-081-A03,19
DEMO100-082,Demo Ivoryfen Fibre Packs,South Africa,EMEA,Packaging,DEMO100-082-A01,8
DEMO100-082,Demo Ivoryfen Fibre Packs,South Africa,EMEA,Packaging,DEMO100-082-A02,17
DEMO100-082,Demo Ivoryfen Fibre Packs,South Africa,EMEA,Packaging,DEMO100-082-A03,6
DEMO100-083,Demo Ivoryfen Signal Devices,Poland,EMEA,Electronics,DEMO100-083-A01,15
DEMO100-083,Demo Ivoryfen Signal Devices,Poland,EMEA,Electronics,DEMO100-083-A02,4
DEMO100-083,Demo Ivoryfen Signal Devices,Poland,EMEA,Electronics,DEMO100-083-A03,13
DEMO100-084,Demo Ivoryfen Woven Materials,Chile,LATAM,Textiles,DEMO100-084-A01,2
DEMO100-084,Demo Ivoryfen Woven Materials,Chile,LATAM,Textiles,DEMO100-084-A02,11
DEMO100-084,Demo Ivoryfen Woven Materials,Chile,LATAM,Textiles,DEMO100-084-A03,20
DEMO100-085,Demo Ivoryfen Process Systems,Turkey,EMEA,Industrial,DEMO100-085-A01,9
DEMO100-085,Demo Ivoryfen Process Systems,Turkey,EMEA,Industrial,DEMO100-085-A02,18
DEMO100-085,Demo Ivoryfen Process Systems,Turkey,EMEA,Industrial,DEMO100-085-A03,7
DEMO100-086,Demo Ivoryfen Drive Components,Portugal,EMEA,Automotive,DEMO100-086-A01,16
DEMO100-086,Demo Ivoryfen Drive Components,Portugal,EMEA,Automotive,DEMO100-086-A02,5
DEMO100-086,Demo Ivoryfen Drive Components,Portugal,EMEA,Automotive,DEMO100-086-A03,14
DEMO100-087,Demo Ivoryfen Circular Cartons,Japan,APAC,Packaging,DEMO100-087-A01,3
DEMO100-087,Demo Ivoryfen Circular Cartons,Japan,APAC,Packaging,DEMO100-087-A02,12
DEMO100-087,Demo Ivoryfen Circular Cartons,Japan,APAC,Packaging,DEMO100-087-A03,1
DEMO100-088,Demo Ivoryfen Sensor Assemblies,Malaysia,APAC,Electronics,DEMO100-088-A01,10
DEMO100-088,Demo Ivoryfen Sensor Assemblies,Malaysia,APAC,Electronics,DEMO100-088-A02,19
DEMO100-088,Demo Ivoryfen Sensor Assemblies,Malaysia,APAC,Electronics,DEMO100-088-A03,8
DEMO100-089,Demo Ivoryfen Technical Fabrics,Sweden,EMEA,Textiles,DEMO100-089-A01,17
DEMO100-089,Demo Ivoryfen Technical Fabrics,Sweden,EMEA,Textiles,DEMO100-089-A02,6
DEMO100-089,Demo Ivoryfen Technical Fabrics,Sweden,EMEA,Textiles,DEMO100-089-A03,15
DEMO100-090,Demo Ivoryfen Precision Tools,South Korea,APAC,Industrial,DEMO100-090-A01,4
DEMO100-090,Demo Ivoryfen Precision Tools,South Korea,APAC,Industrial,DEMO100-090-A02,13
DEMO100-090,Demo Ivoryfen Precision Tools,South Korea,APAC,Industrial,DEMO100-090-A03,2
DEMO100-091,Demo Junipercrest Motion Works,Spain,EMEA,Automotive,DEMO100-091-A01,11
DEMO100-091,Demo Junipercrest Motion Works,Spain,EMEA,Automotive,DEMO100-091-A02,20
